Id,Location,Name,Category,Description,Latitude,Longitude,Altitude,Date verified,Open,Electricity,Wifi,Kitchen,Parking,Restaurant,Showers,Water,Toilets,Big rig friendly,Tent friendly,Pet friendly,Sanitation dump station,Outdoor gear,Groceries,Artisan goods,Bakery,Rarity in this area,Repairs vehicles,Repairs motorcycles,Repairs bicycles,Sells parts,Recycles batteries,Recycles oil,Bio fuel,Electric vehicle charging,Composting sawdust,Recycling center
4761342d-6fe6-46a7-a118-094ccc650227,"State Line Campground, United States",State Line Campground,Established Campground,8 free BLM camping spots with pit toilets. Limited LTE service from solar powered booster station. One of the eight spots is reserved for tent only.,36.7783,-119.4179,0.0,2024-07-12 00:00:00 UTC,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
c9b41dd2-7631-4fb3-8b9b-063b68013397,"White Pocket, United States",White Pocket,Established Campground,"Sleeping place right in front of the White Pocket on the parking. Super quiet, 0 Services. Ideal for morning and sunset photos! In case you are unlucky in the lottery for „the wave“ - this is the place to visit. It is just wonderful here, no permits required, you can stay overnight. Wonder around and enjoy. The last 9 km is deep sand, 4x4 required, high clearance as well. We made it with a Sprinter. It is a remote place.",31.9809,-99.8864,0.0,2024-07-12 00:00:00 UTC,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
e127c1c0-d69a-4f5d-929b-69d195641f0c,"Tolsona River RV Park and Campground, United States",Tolsona River RV Park and Campground,Established Campground,"An old standby for us. Multiple sites for large or small RV's and tents along a windy creek. Hot showers cost .25/minute, wifi close to office.",43.8287,-120.5234,0.0,2024-07-12 00:00:00 UTC,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
1b6793a8-b12a-467e-bb51-ec01bf59c709,"Beverly Beach State Park, United States",Beverly Beach State Park,Established Campground,"This is a great campground for a first night on the Oregon coast. It is a very nice State Park campground with great beach access under a highway 101 overpass. A beautiful old growth loop-system campground with full hookups, tent sites (good selection), hot showers, clean bathrooms, but no wifi available.",39.3579,-111.0475,0.0,2024-07-12 00:00:00 UTC,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
b6197b0a-074c-468e-bf00-5a87b92afb98,"Sunset Bay State Park, United States",Sunset Bay State Park,Established Campground,"Another night, another campground. Full hookups, hot showers, no wifi. Price: $21/tent site",39.5993,-105.7205,0.0,2024-07-12 00:00:00 UTC,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
a24a4bf5-4dd6-4ab5-a519-5e4d783d4df4,"Clam Beach County Park, United States",Clam Beach County Park,Established Campground,"This is a very small campground for cars and RVs. Paved lot right by the ocean with toilets (a bit scary), and a picnic site. Maximum stay is 3 nights and fees were $30/night. There appears to be a camp host across the road. Verizon good. AT&T good. Water available.",34.1104,-111.0167,0.0,2024-07-12 00:00:00 UTC,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
be696b74-f226-4952-b032-15ae8a11fc89,"Doran County Park, United States",Doran County Park,Established Campground,"Busy campground on a spit outside of Bodega Bay, CA. Reservations are required for camping due to pandemic. Cost for a basic (no hook-ups) site is $37/night + $4.44 taxes + $9.50 ""reservation fee"". $7 if you want to use the dump station. Flush toilets, pay for hot showers, no wifi but good Verizon coverage. Lots of day-use folks on sunny days. Water is potable but tastes salty/bad.",47.8249,-120.6477,0.0,2024-07-12 00:00:00 UTC,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
43a990b0-5d10-4479-8243-53f47292f895,"KOA Chula Vista, United States",KOA Chula Vista,Established Campground,"Stayed dec 30 &31 and paid $50 for the first night. The second night was supposed to be $90 but the super nice staff gave it to us for $65. It was a huge splurge but we had been sick and in rain for a week and just wanted nice facilities. Thus place was amazing! Dare I say even worth the price? Fenced dog park, trails,one mile to the beach, super clean facilities, garbage pickup at your site, tons of activities for kids, pool, hot tub, laundry, store but best of all perhaps THE best staff of any place of any kind we have ever stayed. Every single employee was friendly and efficient and went out of their way to be helpful- truly wonderful.",27.7509,-81.408,0.0,2024-07-12 00:00:00 UTC,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
c4241716-4c9c-49de-999a-79f81201b7e9,"Willard Bay State Park, United States",Willard Bay State Park,Established Campground,"State park with pull through at campsites. $20 per site. Pretty view of the lake. Lots of freeway and train noise. There is a second campground adjacent that has hookups for rvs.
Note: GPS Coordinates have been updated. Location is now correct: 41.41994, -112.054806. This park in is Utah, just off Highway 15.",43.1743,-107.1671,0.0,2024-07-12 00:00:00 UTC,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
96eaf2d5-d0d3-4a33-baa3-123c51038146,"The Cove at Fish Lake, United States",The Cove at Fish Lake,Established Campground,"A great spot to go camping for the weekend, rent a boat and go fishing. There are lots of established campsites. Few sites have hookups, be sure to make a reservation if you need them.

$30/h for motorboat, $40/h for pontoon.
$20 dry camping, $35 with hookups.

showers are coin-operated. Good cell reception",46.9904,-110.224,0.0,2024-07-12 00:00:00 UTC,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No
